Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Lot Config,Neighborhood,House Style,Overall Qual,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,Heating QC,1st Flr SF,2nd Flr SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,SalePrice,Age Sold,TotBath Bsmt,TotBath AbvGr
2063,20,RL,71.0,8197,Reg,Inside,Sawyer,1Story,6,1977,Gable,Plywood,Plywood,BrkFace,148.0,TA,CBlock,TA,No,Unf,0.0,Ex,1285,0,1285,3,1,TA,7,1,TA,Attchd,1977.0,RFn,2.0,528.0,138,0,143500,30,0.0,2
69,60,FV,72.0,8640,Reg,Inside,Somerst,2Story,7,2009,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,Mn,GLQ,24.0,Ex,764,783,1547,3,1,Gd,7,0,0,Attchd,2009.0,Unf,2.0,614.0,169,45,215200,1,0.0,3
2062,20,RL,109.0,8724,Reg,Inside,Sawyer,1Story,5,1968,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,Gd,No,BLQ,492.0,Gd,894,0,894,3,1,TA,5,1,Po,Attchd,1968.0,Fin,2.0,450.0,0,0,129000,39,0.0,1
351,120,RL,40.0,5664,IR1,Inside,StoneBr,1Story,8,2000,Gable,CemntBd,CmentBd,None,0.0,Gd,PConc,Gd,No,GLQ,1158.0,Ex,1659,0,1659,2,1,Ex,5,1,Ex,Attchd,2000.0,Fin,2.0,499.0,212,59,278000,9,1.0,2
12,20,RL,69.05520046484602,7980,IR1,Inside,Gilbert,1Story,6,2007,Gable,HdBoard,HdBoard,None,0.0,TA,PConc,Gd,No,ALQ,935.0,Ex,1187,0,1187,3,1,TA,6,0,0,Attchd,1992.0,Fin,2.0,420.0,483,21,185000,18,1.0,2
2339,190,RL,100.0,34650,Reg,Inside,Gilbert,1Story,5,1955,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,Mn,Rec,1056.0,TA,1056,0,1056,3,1,TA,5,0,0,Attchd,1955.0,Fin,2.0,572.0,264,0,145000,51,1.0,1
624,20,RL,92.0,10573,IR1,Corner,NAmes,1Story,6,1961,Hip,MetalSd,MetalSd,BrkFace,3.0,TA,CBlock,TA,No,Rec,1312.0,Ex,1453,0,1453,3,1,TA,6,1,TA,Attchd,1961.0,RFn,2.0,530.0,0,49,187500,48,1.0,2
86,20,RL,65.0,8450,Reg,Inside,Sawyer,1Story,5,2009,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,No,GLQ,553.0,Ex,894,0,894,3,1,TA,5,1,Gd,Detchd,1973.0,Unf,1.0,336.0,416,144,138500,45,1.0,1
1534,50,RL,69.05520046484602,11700,IR1,Inside,Crawfor,1.5Fin,5,1995,Gable,WdShing,Wd Shng,None,0.0,TA,CBlock,TA,No,BLQ,606.0,Ex,1265,673,1938,4,1,Gd,7,1,Gd,Detchd,1937.0,Unf,1.0,240.0,0,40,198000,71,0.0,2
1957,50,RL,60.0,8064,Reg,Corner,NAmes,1.5Fin,5,2006,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,Mn,Unf,0.0,Ex,672,252,924,3,1,TA,6,1,Po,Detchd,2003.0,Unf,2.0,576.0,0,0,122900,58,0.0,1
380,20,RL,80.0,9600,Reg,Inside,NWAmes,1Story,8,1981,Hip,BrkFace,BrkFace,None,0.0,Gd,PConc,Gd,No,ALQ,1104.0,TA,2524,0,2524,4,1,Gd,9,1,Gd,Attchd,1981.0,Fin,2.0,542.0,474,120,278000,28,1.0,3
2860,70,RL,69.05520046484602,11435,IR1,Corner,Crawfor,2Story,8,1950,Gable,BrkFace,Stucco,None,0.0,TA,PConc,Gd,No,Unf,0.0,Fa,792,725,1517,3,1,Gd,7,2,Gd,Detchd,1931.0,Unf,2.0,400.0,0,0,230000,77,0.0,1
2517,120,RL,30.0,9549,IR1,CulDSac,Veenker,1Story,8,1996,Hip,BrkFace,BrkFace,None,0.0,Gd,PConc,Gd,Av,LwQ,437.0,Ex,1494,0,1494,2,1,Ex,6,1,Gd,Attchd,1995.0,Fin,2.0,481.0,0,30,270000,11,1.0,2
1933,20,RL,60.0,10950,Reg,Inside,NAmes,1Story,6,1952,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,No,ALQ,441.0,TA,948,0,948,2,1,TA,5,0,0,Detchd,1952.0,Unf,2.0,410.0,0,48,125000,55,0.0,1
820,20,RL,79.0,10637,Reg,Inside,CollgCr,1Story,8,2008,Hip,VinylSd,VinylSd,Stone,336.0,Gd,PConc,Ex,Gd,GLQ,1288.0,Ex,1718,0,1718,3,1,Gd,7,1,Gd,Attchd,2007.0,RFn,3.0,826.0,208,44,297000,2,1.0,2
675,20,RL,80.0,9000,IR1,Inside,NAmes,1Story,6,1958,Flat,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,CBlock,Gd,Gd,Unf,0.0,Fa,1142,0,1142,2,1,TA,5,1,Gd,Basment,1958.0,RFn,1.0,384.0,0,28,113500,51,0.0,1
2910,160,RM,41.0,2665,Reg,Inside,MeadowV,2Story,5,1977,Gable,CemntBd,CmentBd,None,0.0,TA,PConc,TA,No,ALQ,548.0,Ex,925,550,1475,4,1,TA,6,1,TA,Attchd,1977.0,RFn,1.0,336.0,104,26,127000,29,0.0,2
21,20,RL,105.0,11751,IR1,Inside,NWAmes,1Story,6,1977,Hip,Plywood,Plywood,BrkFace,480.0,TA,CBlock,Gd,No,BLQ,705.0,Ex,1844,0,1844,3,1,TA,7,1,TA,Attchd,1977.0,RFn,2.0,546.0,0,122,190000,33,0.0,2
1873,20,RL,80.0,9600,Reg,Inside,NWAmes,1Story,7,1973,Hip,HdBoard,HdBoard,BrkFace,320.0,TA,CBlock,TA,No,ALQ,916.0,Fa,1242,0,1242,3,1,TA,6,1,TA,Attchd,1973.0,Unf,2.0,528.0,0,0,175500,34,0.0,2
2125,20,RL,60.0,8428,IR2,Inside,CollgCr,1Story,5,1994,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,GLQ,420.0,Ex,990,0,990,3,1,TA,5,0,0,Detchd,1995.0,Unf,1.0,384.0,256,0,146000,13,1.0,1
1489,20,RL,75.0,9937,Reg,Inside,Edwards,1Story,5,1965,Gable,HdBoard,HdBoard,None,0.0,Gd,CBlock,TA,No,BLQ,830.0,Gd,1256,0,1256,3,1,TA,6,0,0,Attchd,1965.0,Fin,1.0,276.0,736,68,147500,43,1.0,2
983,85,RL,69.05520046484602,9101,IR1,Corner,Mitchel,SFoyer,5,1978,Gable,Plywood,Plywood,BrkFace,104.0,TA,PConc,Gd,Av,GLQ,1097.0,Ex,1110,0,1110,1,1,Gd,4,1,TA,Attchd,1978.0,Fin,2.0,602.0,303,30,165500,31,1.0,1
1325,50,RM,81.0,12150,Reg,Inside,OldTown,1.5Fin,5,1954,Gable,MetalSd,MetalSd,BrkFace,335.0,TA,BrkTil,TA,No,Unf,0.0,Ex,1050,745,1795,4,1,TA,7,0,0,Attchd,1954.0,Unf,1.0,352.0,0,0,131500,54,0.0,2
1378,20,RL,70.0,11200,Reg,Inside,Sawyer,1Story,5,1965,Hip,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,Rec,906.0,Ex,1040,0,1040,3,1,TA,5,0,0,Detchd,1965.0,Unf,1.0,384.0,0,0,129500,43,1.0,1
1537,70,RL,100.0,9670,IR1,Inside,Crawfor,2Story,8,1950,Gable,BrkFace,Stucco,Stone,40.0,TA,PConc,TA,No,LwQ,210.0,TA,983,890,1873,4,1,TA,9,2,Gd,Detchd,1935.0,Fin,2.0,786.0,0,0,257076,73,0.0,2
905,50,RL,60.0,10998,Reg,Inside,Edwards,1.5Fin,5,1960,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,No,LwQ,408.0,Ex,984,620,1604,3,1,TA,6,0,0,Detchd,1977.0,Unf,2.0,660.0,0,68,117000,68,0.0,2
1532,70,RL,60.0,7200,Reg,Inside,Crawfor,2Story,7,2000,Gable,Stucco,Wd Shng,None,0.0,TA,BrkTil,Gd,No,Unf,0.0,TA,851,651,1502,3,1,TA,6,1,Gd,Attchd,1931.0,RFn,1.0,270.0,0,0,149000,77,0.0,2
132,20,RL,80.0,9920,Reg,Inside,NAmes,1Story,5,1954,Gable,HdBoard,HdBoard,Stone,110.0,TA,CBlock,TA,No,Rec,354.0,TA,1063,0,1063,3,1,TA,6,0,0,Attchd,1954.0,RFn,1.0,280.0,0,0,128000,56,1.0,1
1078,160,RL,36.0,2448,Reg,Inside,NridgHt,2Story,7,2004,Gable,VinylSd,Wd Shng,Stone,106.0,Gd,PConc,Gd,No,Unf,0.0,Ex,764,862,1626,2,1,Gd,6,0,0,BuiltIn,2003.0,RFn,2.0,474.0,0,27,155000,5,0.0,3
2511,160,FV,69.05520046484602,2998,Reg,Inside,Somerst,2Story,6,2000,Gable,MetalSd,MetalSd,BrkFace,513.0,Gd,PConc,Gd,No,GLQ,353.0,Ex,768,756,1524,2,1,Gd,4,0,0,Detchd,2000.0,Unf,2.0,440.0,0,32,166000,6,0.0,3
912,50,RL,65.0,7804,Reg,Inside,SWISU,1.5Fin,4,1950,Gable,WdShing,Plywood,None,0.0,TA,BrkTil,TA,No,BLQ,622.0,TA,1328,653,1981,4,1,Gd,7,2,TA,Detchd,1981.0,Unf,2.0,576.0,431,44,135000,81,1.0,2
2351,60,RL,80.0,16692,IR1,Inside,NWAmes,2Story,7,1978,Gable,Plywood,Plywood,BrkFace,184.0,TA,CBlock,Gd,No,BLQ,790.0,TA,1392,1392,2784,5,1,Gd,12,2,TA,Attchd,1978.0,RFn,2.0,564.0,0,112,250000,28,1.0,4
2586,20,RL,75.0,10170,Reg,Corner,NAmes,1Story,6,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,522.0,TA,CBlock,TA,No,Unf,0.0,TA,1575,0,1575,2,1,Gd,5,1,Gd,Attchd,1951.0,Unf,2.0,400.0,0,0,155000,55,0.0,2
224,60,RL,80.0,9364,Reg,Corner,Sawyer,2Story,6,1969,Gable,HdBoard,HdBoard,Stone,143.0,TA,CBlock,TA,No,ALQ,371.0,TA,663,689,1352,4,1,TA,7,0,0,Attchd,1969.0,Fin,1.0,299.0,379,36,158000,41,0.0,2
98,160,FV,24.0,2544,Reg,Inside,Somerst,2Story,7,2005,Gable,MetalSd,MetalSd,None,0.0,Gd,PConc,Gd,No,GLQ,368.0,Ex,600,600,1200,2,1,Gd,4,0,0,Detchd,2004.0,RFn,2.0,480.0,0,172,149500,6,1.0,3
2565,20,RL,82.0,9888,Reg,Inside,NAmes,1Story,5,1975,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,No,BLQ,486.0,TA,936,0,936,2,1,TA,5,0,0,Attchd,1954.0,Unf,1.0,240.0,0,0,121000,52,0.0,1
1934,20,RL,68.0,7942,Reg,Inside,NAmes,1Story,6,1953,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,No,Rec,85.0,TA,1040,0,1040,3,1,TA,6,0,0,Attchd,1953.0,Fin,1.0,293.0,0,0,136000,54,1.0,1
997,60,RL,69.05520046484602,15038,IR2,Corner,Gilbert,2Story,6,1996,Gable,HdBoard,HdBoard,None,0.0,TA,PConc,Gd,No,Rec,138.0,Gd,916,720,1636,3,1,TA,7,1,TA,Attchd,1996.0,Fin,2.0,386.0,168,84,173000,12,0.0,3
64,60,RL,92.0,11764,IR1,CulDSac,NoRidge,2Story,8,2007,Gable,VinylSd,VinylSd,BrkFace,348.0,Gd,PConc,Gd,No,GLQ,524.0,Ex,1164,1106,2270,4,1,Gd,9,1,Gd,Attchd,1999.0,Fin,3.0,671.0,132,57,290000,11,0.0,3
1799,60,FV,75.0,9000,Reg,Inside,Somerst,2Story,8,2007,Gable,CemntBd,CmentBd,None,0.0,Gd,PConc,Gd,Av,GLQ,64.0,Ex,1184,1426,2610,4,1,Ex,11,1,Gd,BuiltIn,2007.0,Fin,2.0,550.0,208,364,303477,0,0.0,3
230,20,RL,69.05520046484602,20062,IR1,Inside,ClearCr,1Story,7,2001,Hip,Wd Sdng,Wd Sdng,None,0.0,Gd,CBlock,Gd,Gd,ALQ,1092.0,Gd,1483,0,1483,1,1,TA,4,2,TA,Attchd,1977.0,RFn,2.0,690.0,496,0,270000,33,1.0,2
1295,50,RM,81.0,7308,Reg,Corner,OldTown,1.5Fin,5,1950,Gable,WdShing,Wd Shng,None,0.0,Fa,BrkTil,TA,No,Rec,360.0,Gd,960,780,1740,2,1,Ex,6,1,Gd,Detchd,1920.0,Unf,1.0,225.0,0,0,122250,88,0.0,1
638,20,RL,70.0,8750,Reg,Inside,NAmes,1Story,5,1955,Gable,AsbShng,AsbShng,None,0.0,TA,CBlock,TA,No,Rec,172.0,Gd,1382,0,1382,3,1,Gd,6,0,0,Attchd,1955.0,Unf,1.0,350.0,280,0,153000,54,1.0,1
2202,70,RL,63.0,4000,Reg,Inside,Crawfor,2Story,7,1995,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,Gd,No,GLQ,246.0,TA,567,531,1098,2,1,TA,5,1,Gd,Detchd,1930.0,Unf,1.0,216.0,0,0,148500,77,1.0,1
2833,160,RM,32.0,3363,Reg,Inside,Edwards,2Story,7,2004,Gable,VinylSd,VinylSd,Stone,117.0,Gd,PConc,Gd,No,Unf,0.0,Ex,976,732,1708,3,1,Gd,7,0,0,Detchd,2004.0,Unf,2.0,380.0,0,40,130000,2,0.0,2
1707,20,RL,94.0,13615,IR1,Corner,NridgHt,1Story,9,2006,Hip,MetalSd,MetalSd,Stone,510.0,Ex,PConc,Ex,Gd,Unf,0.0,Ex,1802,0,1802,3,1,Ex,7,1,Gd,Attchd,2006.0,Fin,3.0,843.0,158,105,372000,1,0.0,3
2428,120,RL,43.0,3013,Reg,Inside,Blmngtn,1Story,7,2005,Gable,VinylSd,VinylSd,BrkFace,145.0,Gd,PConc,Gd,Gd,GLQ,16.0,Ex,1506,0,1506,2,1,Gd,6,1,Gd,Attchd,2005.0,Fin,2.0,440.0,142,20,213490,1,0.0,2
242,20,RL,44.0,17485,IR2,Inside,Edwards,1Story,7,2010,Gable,VinylSd,VinylSd,Stone,96.0,Gd,PConc,Gd,Gd,GLQ,1346.0,Ex,1508,0,1508,1,1,Gd,5,2,TA,Attchd,2009.0,RFn,2.0,572.0,0,0,308030,1,1.0,1
1564,20,RL,69.05520046484602,23730,IR2,Inside,Mitchel,1Story,7,1997,Gable,MetalSd,MetalSd,BrkFace,668.0,Gd,PConc,Ex,Mn,GLQ,700.0,Ex,2032,0,2032,3,1,Gd,7,0,0,Attchd,1996.0,Fin,3.0,786.0,0,46,300000,12,1.0,3
2613,20,RL,79.0,8910,Reg,Corner,NAmes,1Story,6,1959,Hip,BrkFace,BrkFace,None,0.0,TA,CBlock,TA,Mn,ALQ,655.0,Ex,1194,0,1194,3,1,TA,6,1,Fa,BuiltIn,1954.0,Fin,2.0,539.0,0,0,159500,47,1.0,1
2832,160,RM,24.0,2522,Reg,Inside,Edwards,2Story,7,2004,Gable,VinylSd,VinylSd,Stone,50.0,Gd,PConc,Gd,No,Unf,0.0,Ex,970,739,1709,3,1,Gd,7,0,0,Detchd,2004.0,Unf,2.0,380.0,0,40,137500,2,0.0,2
2459,20,RL,73.0,8688,Reg,Inside,Somerst,1Story,7,2005,Gable,VinylSd,VinylSd,BrkFace,228.0,Gd,PConc,Gd,Av,Unf,0.0,Ex,1616,0,1616,3,1,Gd,7,0,0,Attchd,2005.0,RFn,3.0,834.0,208,59,232000,1,0.0,2
1360,30,RM,69.05520046484602,6291,IR1,Inside,IDOTRR,1Story,6,1950,Gable,Stucco,Wd Shng,None,0.0,Gd,BrkTil,TA,No,Unf,0.0,TA,768,0,768,1,1,TA,4,0,0,Detchd,1930.0,Unf,2.0,440.0,0,0,93850,78,0.0,1
2723,30,RL,69.05520046484602,17529,Reg,Inside,Sawyer,1Story,5,1950,Gable,BrkFace,Wd Sdng,Stone,65.0,TA,BrkTil,TA,No,Unf,0.0,Fa,872,0,872,2,1,Fa,5,1,Gd,Detchd,1924.0,Unf,1.0,322.0,0,0,105000,82,0.0,1
1350,30,RM,60.0,6324,IR1,Inside,BrkSide,1Story,4,1950,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Unf,0.0,Fa,520,0,520,1,1,Fa,4,0,0,Detchd,1920.0,Unf,1.0,240.0,49,0,68500,81,0.0,1
136,90,RL,80.0,11600,Reg,Corner,NAmes,2Story,5,1960,Gable,MetalSd,MetalSd,BrkFace,361.0,TA,CBlock,TA,No,Rec,443.0,TA,1105,1169,2274,5,2,TA,12,0,0,Detchd,1960.0,Unf,2.0,480.0,0,0,154300,50,0.0,2
1993,70,RM,35.0,4571,Reg,Inside,OldTown,2Story,5,1950,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,BLQ,168.0,Ex,616,616,1232,3,1,TA,6,0,0,Detchd,1920.0,Unf,2.0,480.0,280,0,114000,97,0.0,1
367,20,RL,63.0,17423,IR1,CulDSac,StoneBr,1Story,9,2009,Hip,VinylSd,VinylSd,Stone,748.0,Ex,PConc,Ex,No,GLQ,1904.0,Ex,2234,0,2234,1,1,Ex,9,1,Gd,Attchd,2009.0,Fin,3.0,1166.0,0,60,501837,1,1.0,2
1309,50,RM,100.0,12665,IR1,Inside,OldTown,1.5Fin,5,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,TA,Mn,Unf,0.0,Gd,876,540,1416,4,1,TA,7,1,Gd,Detchd,1949.0,Unf,3.0,720.0,418,0,153900,93,0.0,2
402,20,RL,60.0,9000,Reg,FR2,NAmes,1Story,4,2006,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,No,ALQ,240.0,Gd,864,0,864,3,1,TA,5,0,0,Detchd,1986.0,Unf,2.0,576.0,200,0,130000,38,0.0,1
1592,120,RM,32.0,4500,Reg,FR2,Mitchel,1Story,6,1997,Hip,VinylSd,VinylSd,BrkFace,197.0,TA,PConc,Ex,No,GLQ,864.0,Ex,1189,0,1189,2,1,TA,4,0,0,Attchd,1997.0,RFn,2.0,392.0,0,122,160500,11,1.0,2
2409,120,RL,48.0,6373,Reg,Inside,NridgHt,1Story,9,2006,Hip,MetalSd,MetalSd,BrkFace,572.0,Ex,PConc,Ex,No,GLQ,415.0,Ex,1666,0,1666,2,1,Gd,6,1,Gd,Attchd,2006.0,RFn,2.0,575.0,228,75,310090,0,1.0,2
1940,20,RL,70.0,13300,Reg,Inside,NAmes,1Story,5,2000,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,Gd,No,Rec,377.0,TA,928,0,928,2,1,TA,4,0,0,Attchd,1956.0,Unf,1.0,252.0,261,0,132000,51,0.0,1
588,20,RL,80.0,9600,Reg,Inside,NWAmes,1Story,5,1969,Gable,HdBoard,HdBoard,BrkFace,128.0,TA,CBlock,Gd,Mn,ALQ,553.0,TA,1336,0,1336,3,1,TA,6,1,Fa,Attchd,1969.0,RFn,2.0,502.0,312,11,163000,40,1.0,2
96,160,FV,30.0,3215,Reg,Inside,Somerst,2Story,7,2004,Gable,MetalSd,MetalSd,BrkFace,120.0,Gd,PConc,Gd,Av,GLQ,280.0,Ex,600,600,1200,2,1,Gd,4,0,0,Detchd,2004.0,RFn,2.0,480.0,0,172,155000,6,0.0,3
1187,80,RL,69.05520046484602,11104,IR1,Inside,NWAmes,SLvl,6,1969,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,Av,GLQ,828.0,Gd,1427,0,1427,4,1,TA,7,0,0,Attchd,1969.0,RFn,2.0,516.0,0,0,183000,39,1.0,2
2154,60,RL,69.05520046484602,15295,IR3,Corner,CollgCr,2Story,7,2002,Gable,VinylSd,VinylSd,BrkFace,254.0,Gd,PConc,Gd,Mn,GLQ,762.0,Ex,1212,780,1992,3,1,Gd,7,2,TA,Attchd,1996.0,RFn,2.0,608.0,225,32,211000,11,1.0,3
550,60,RL,70.0,9109,Reg,Inside,SawyerW,2Story,7,1994,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,No,LwQ,36.0,Ex,754,786,1540,3,1,Gd,6,0,0,Attchd,1994.0,RFn,2.0,495.0,140,32,184000,15,1.0,3
124,80,RL,69.05520046484602,14112,IR1,Corner,NAmes,SLvl,5,1964,Hip,Wd Sdng,HdBoard,BrkFace,86.0,TA,PConc,TA,Av,GLQ,1014.0,TA,1152,0,1152,3,1,TA,6,1,Gd,Attchd,1964.0,RFn,2.0,484.0,227,0,180500,46,1.0,1
1836,120,FV,80.0,3523,IR1,Inside,Somerst,1Story,8,2007,Gable,VinylSd,VinylSd,Stone,30.0,Gd,PConc,Gd,No,GLQ,60.0,Ex,1151,0,1151,2,1,Gd,5,0,0,Attchd,2006.0,Fin,2.0,484.0,0,60,166000,1,1.0,2
779,80,RL,88.0,15312,Reg,Inside,Sawyer,SLvl,6,1960,Hip,Wd Sdng,Wd Sdng,BrkFace,54.0,TA,CBlock,TA,Av,BLQ,588.0,Ex,1138,0,1138,3,1,TA,6,1,TA,Attchd,1960.0,RFn,2.0,480.0,0,0,148000,49,1.0,1
1886,20,RL,74.0,7450,IR1,Inside,NAmes,1Story,5,1956,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,No,Rec,438.0,Gd,1074,0,1074,2,1,Gd,6,1,Gd,Detchd,1966.0,Unf,2.0,396.0,0,72,124000,51,0.0,1
1724,120,RL,60.0,7313,Reg,Inside,NridgHt,1Story,9,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,Ex,PConc,Ex,No,GLQ,1153.0,Ex,1561,0,1561,2,1,Ex,6,1,Gd,Attchd,2005.0,Fin,2.0,556.0,203,47,277500,2,1.0,2
